Address,Weekly Rent,Bedrooms,Bathrooms,Parking,Property Type,Listing Agent,Agency,URL,Scraped At
"41 Konini Road, Greenlane, Auckland City, Auckland",785,3,1,2,House,myRent.co.nz,myRent.co.nz Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/greenlane/listing/5445875676?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:39:31.250935
"44 Dundas Street, North Dunedin, Dunedin, Otago",840,3,2,1,Apartment,myRent.co.nz,myRent.co.nz Ltd,https://www.trademe.co.nz/a/property/residential/rent/otago/dunedin/north-dunedin/listing/5446456601?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:39:34.851286
"Town Centre, Taupo, Waikato",560,3,1,4,Other,Elle Knight,Lakeside Rentals,https://www.trademe.co.nz/a/property/residential/rent/waikato/taupo/town-centre/listing/5446489757?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:39:36.846000
"25 Borthwick Street, Belfast, Christchurch City, Canterbury",650,3,2,0,Other,Alex Neilson,Holmwood Property Management,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/belfast/listing/5446443511?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:39:39.085573
"1/2 Farnham Place, Ilam, Christchurch City, Canterbury",800,4,1,0,Flat,Kate van den Berg,"Progressive First National - Progressive Realty Ltd MREINZ, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/ilam/listing/5446399821?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:39:42.066024
"11 Autumn Ave, Glen Eden, Waitakere City, Auckland",660,3,1,1,Other,Sarah Zhou,Onecall Property Management Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/glen-eden/listing/5445682313?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:39:43.563413
"11.03/161 Victoria Street, Te Aro, Wellington, Wellington",690,2,1,0,Apartment,Nicholas White,"First National Collective, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/te-aro/listing/5446424102?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:39:47.075062
"28A Larissa Avenue, Henderson, Waitakere City, Auckland",600,2,1,1,House,Bryony Key,Aspire Property Management,https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/5445440618?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:39:48.849736
"311(Unit) Great North Road, Henderson, Waitakere City, Auckland",590,1,1,0,Unit,Debbie Roberts,Ray White Austar Property Services,https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/5446161929?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:39:50.896665
"3 John Campbell Crescent, Hillmorton, Christchurch City, Canterbury",775,3,2,2,Other,Pieta Shaw,Grenadier Rent Shop Ltd,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/hillmorton/listing/5446433233?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:39:53.324869
"3 George Street, Te Aroha, Matamata-Piako, Waikato",580,2,1,2,Unit,Vicki Black,"Property Brokers, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/waikato/matamata-piako/te-aroha/listing/5446384083?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:39:59.572024
"6/17 Jellicoe Road, Manurewa, Manukau City, Auckland",350,1,1,1,Unit,Kishon Anufe,"Crockers Property Management Ltd, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/manurewa/listing/5446488472?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:39:59.809504
"4/89 Selwyn Street, Somerfield, Christchurch City, Canterbury",540,2,2,1,Townhouse,Debbi Freeman,Grenadier Rent Shop Ltd,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/somerfield/listing/5446439632?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:40:02.083266
